,购买金额,累计购买金额
649,279.98,1893.616
650,488.66,411.99
651,30.99,3964.426
652,767.98,3163.882
653,199.0,1651.889
654,448.97,1006.42
655,560.96,1009.46
656,139.96,3194.109
657,159.4,2263.242
658,383.99,973.614
659,43.19,1603.667
660,140.0,3182.091
661,91.99,0.0
662,372.96,1993.994
663,722.95,613.98
664,129.95,942.806
665,52.98,1232.865
666,474.98,464.99
667,2501.84,4049.442
668,1097.15,2249.66
669,35.98,5820.254
670,87.99,2786.79
671,37.98,5425.45
672,169.99,1734.517
673,1944.99,5661.62
674,133.96,2165.537
675,99.17,578.99
676,1683.56,1383.0
677,997.97,2679.604
678,692.99,1640.98
679,338.48,2400.94
680,239.0,933.97
681,599.98,766.98
682,89.99,1458.444
683,101.0,3788.641
684,129.99,1195.115
685,132.98,1057.02
686,1568.17,2057.94
687,89.96,8602.416
688,239.0,1226.729
689,269.95,14.99
690,747.96,4930.54
691,1848.52,11597.9
692,534.97,387.99
693,85.47,1748.803
694,783.98,6433.66
695,557.61,6376.91
696,66.98,1348.71
697,239.0,475.587
698,697.99,3697.63
699,249.97,4019.0
700,92.97,1096.587
701,159.98,3487.47
702,140.0,486.95
703,499.99,3532.877
704,119.99,8548.331
705,155.96,0.0
706,459.96,1867.98
707,149.99,2060.48
708,2573.99,6509.07
709,99.99,337.19
710,831.08,4819.73
711,489.99,2146.41
712,942.94,0.0
713,478.97,2259.39
714,129.95,3439.222
715,159.0,7780.004
716,109.94,5414.768
717,2407.4,1810.66
718,39.99,2656.849
719,631.74,3709.155
720,110.98,2034.432
721,97.97,1071.97
722,164.98,10050.64
723,106.36,370.99
724,193.98,1455.4
725,991.0,1815.49
726,228.88,1884.0
727,835.95,1418.357
728,768.99,983.0
729,1139.97,2927.726
730,102.98,1418.0
731,42.98,2296.661
732,536.37,963.75
733,16.99,3728.571
734,33.98,4399.922
735,1401.86,102.34
736,501.99,863.874
737,239.0,9271.986
738,19.98,985.542
739,161.99,1308.92
740,216.94,2156.99
741,710.42,5361.259
742,74.99,1235.94
743,249.97,1276.99
744,449.97,1041.817
745,1017.87,2145.34
746,342.95,3279.534
747,294.39,1262.66
748,211.95,943.99
749,274.99,1048.99
750,568.96,4154.08
751,239.0,1704.99
